date,open,high,low,close
2017-11-02,25508,25610,25413,25468.5
2017-11-01,25225,25573.4,25193,25530.2
2017-10-31,25112,25112,24963,25057.5
2017-10-30,24975.5,25125,24935.7,25066.4
2017-10-27,24966.1,25085,24920,24981.2
2017-10-26,24977.2,25225,24960,25080.7
2017-10-25,24701.2,25111,24548,24981.2
2017-10-24,24126,24307,24032.7,24237.5
2017-10-23,24000,24170,23902,24123.4
2017-10-19,24290,24320,23886.1,23972.5
2017-10-18,24553.4,24553.4,24302.2,24364.4
2017-10-17,24740.2,24824,24580.5,24655
2017-10-16,24838.1,24891.5,24520.2,24743.2
2017-10-13,24420,24798,24406,24732
2017-10-12,24170,24419,24005,24385.2
2017-10-11,24420,24478.9,24080,24111.5
2017-10-10,24340,24390,24310,24374.2
2017-10-09,24176,24347,24176,24306.4
2017-10-06,24135.7,24290,24135.7,24228
2017-10-05,24146,24236.7,24016,24107.2
