date,open,high,low,close,volume,oi,bar_type,swing_point,swing_high,swing_low,swing,mvf,ldv,weekly_open,weekly_high,weekly_low,weekly_close,lwv,direction,dow_point,peak,trough,intersection,dow_cross
2021-01-06,14249.95,14252.55,14078.1,14189.45,11787075,12368925,DB,,,,,0.7847379567213695,0,,,,,,-1.0,13155.55,,13155.55,,
2021-01-07,14200.1,14283.0,14175.0,14191.1,7527000,12308100,DB,,,,,0.113451388546345,1,,,,,,-1.0,13155.55,,13155.55,,
2021-01-08,14281.0,14379.3,14249.0,14370.9,10549575,13283400,DB,,,,,0.848241933351423,0,,,,,,-1.0,13155.55,,13155.55,,
2021-01-11,14453.0,14498.65,14400.95,14489.25,10675425,13851900,DB,,,,,0.6094173266387098,0,14453.0,14660.0,14375.1,14458.5,0.0,-1.0,13155.55,,13155.55,,
2021-01-12,14478.0,14624.0,14454.45,14597.95,8810475,13891425,DB,,,,,0.9830147383707987,0,,,,,,-1.0,13155.55,,13155.55,,
2021-01-13,14653.85,14660.0,14476.0,14606.15,12772875,13220925,DB,14660.0,14660.0,,high,0.8910630111288713,0,,,,,,-1.0,13155.55,,13155.55,,
2021-01-14,14580.0,14643.75,14504.6,14628.1,8168400,13226850,ISB,,,,,0.8442654890245486,1,,,,,,-1.0,13155.55,,13155.55,,
2021-01-15,14605.0,14623.55,14375.1,14458.5,14423025,12800925,DB,,,,,0.5768233219213585,1,,,,,,-1.0,13155.55,,13155.55,,
2021-01-18,14458.5,14458.95,14250.0,14287.25,13203750,12187425,DB,14250.0,,14250.0,low,0.2607219723879683,0,14458.5,14765.45,14250.0,14380.15,0.0,-1.0,13155.55,,14250.0,,
2021-01-19,14380.5,14586.3,14364.25,14570.0,10990125,12018975,DB,,,,,1.4121482498284146,0,,,,,,-1.0,14250.0,,14250.0,,
2021-01-20,14581.0,14670.45,14524.1,14645.15,8845275,12448125,DB,,,,,0.826553500646967,0,,,,,,-1.0,14250.0,,14250.0,,
2021-01-21,14711.05,14765.45,14508.3,14598.65,9916050,12141225,OSB,14765.45,14765.45,,high,0.6188928428313603,0,,,,,,-1.0,14250.0,,14250.0,,
2021-01-22,14593.0,14625.9,14356.0,14380.15,16387650,11358450,DB,,,,,0.16793983372913104,0,,,,,,-1.0,14250.0,,14250.0,,
2021-01-25,14475.0,14497.75,14233.6,14253.15,13885425,9549150,DB,,,,,0.13716266228868196,0,14475.0,14497.75,13666.6,13709.1,0.0,-1.0,14250.0,14765.45,,14250.0,14250.0
2021-01-27,14199.0,14208.0,13933.1,13982.55,15469275,6386100,DB,,,,,0.3536550915247856,0,,,,,,1.0,14765.45,14765.45,,,
